,dx(cMpc),dy(cMpc),dz(cMpc),volume(cMpc**3),density(g/cMpc**3)
219,-0.0045251384117940075,-0.008919423232090561,-0.010374060823814032,1.3572586336452436e-08,2.2626594963154428e+46
220,-0.010488542146615092,-0.01488282696691083,-0.006796018582923501,1.0858069069161949e-07,1.2953232151371074e+46
221,-0.010488542146615092,-0.01488282696691083,-0.0020252955950640235,1.0858069069161949e-07,5.685177384530178e+45
222,-0.010488542146615092,-0.010112103979054614,-0.006796018582923501,1.0858069069161949e-07,5.421940521006254e+46
223,-0.010488542146615092,-0.010112103979054614,-0.0020252955950640235,1.0858069069161949e-07,8.138942439842856e+45
224,-0.005717819158758061,-0.01488282696691083,-0.006796018582923501,1.0858069069161949e-07,8.921674255501996e+45
225,-0.005717819158758061,-0.01488282696691083,-0.0020252955950640235,1.0858069069161949e-07,4.042499566245348e+45
226,-0.005717819158758061,-0.010112103979054614,-0.006796018582923501,1.0858069069161949e-07,2.328854276537525e+46
227,-0.005717819158758061,-0.010112103979054614,-0.0020252955950640235,1.0858069069161949e-07,7.531843025587109e+45
228,-0.010488542146615092,-0.000570658003340553,-0.016337464558635932,1.0858069069161949e-07,1.693422520468697e+46
229,-0.010488542146615092,-0.000570658003340553,-0.011566741570779717,1.0858069069161949e-07,1.4248426643932123e+46
230,-0.005717819158758061,-0.000570658003340553,-0.016337464558635932,1.0858069069161949e-07,1.0364708637956703e+46
231,-0.005717819158758061,-0.000570658003340553,-0.011566741570779717,1.0858069069161949e-07,1.0000419725130103e+46
232,-0.011681222893579554,-0.004148700244232715,-0.017530145305601617,1.3572586336452436e-08,9.737546704012571e+46
233,-0.011681222893579554,-0.004148700244232715,-0.01514478381167351,1.3572586336452436e-08,1.397521378076365e+47
234,-0.009295861399651039,-0.006534061738160821,-0.017530145305601617,1.3572586336452436e-08,2.2160989717486185e+47
235,-0.009295861399651039,-0.004148700244232715,-0.017530145305601617,1.3572586336452436e-08,7.851290322834025e+46
236,-0.009295861399651039,-0.004148700244232715,-0.01514478381167351,1.3572586336452436e-08,1.1689886037675248e+47
237,-0.01227756326706158,-0.007130402111643665,-0.01812648567908446,1.6965732920565545e-09,2.7662661806619294e+47
238,-0.01227756326706158,-0.007130402111643665,-0.016933804932118775,1.6965732920565545e-09,4.146529722966105e+47
239,-0.01227756326706158,-0.005937721364679611,-0.01812648567908446,1.6965732920565545e-09,3.007442086391254e+47
240,-0.01227756326706158,-0.005937721364679611,-0.016933804932118775,1.6965732920565545e-09,4.480592804998702e+47
241,-0.011084882520097527,-0.007130402111643665,-0.01812648567908446,1.6965732920565545e-09,3.0503675256359863e+47
242,-0.011084882520097527,-0.007130402111643665,-0.016933804932118775,1.6965732920565545e-09,5.033133175504876e+47
243,-0.011084882520097527,-0.005937721364679611,-0.01812648567908446,1.6965732920565545e-09,2.6001123667111306e+47
244,-0.011084882520097527,-0.005937721364679611,-0.016933804932118775,1.6965732920565545e-09,4.838180903225346e+47
245,-0.01227756326706158,-0.007130402111643665,-0.01574112418515309,1.6965732920565545e-09,1.0576444765347889e+48
246,-0.01227756326706158,-0.005937721364679611,-0.01574112418515309,1.6965732920565545e-09,6.677705035875444e+47
247,-0.01227756326706158,-0.005937721364679611,-0.014548443438190667,1.6965732920565545e-09,9.059687986874799e+47
